Christian Perez, 862, <a href='http://en.wikipedia.org/wiki/Pitbull_(rapper)'>Pitbull</a>
Hatem Ben Arfa, 806, <a href='http://en.wikipedia.org/wiki/Hatem_Ben_Arfa'>Hatem Ben Arfa</a>
André-Pierre Gignac, 783, <a href='http://en.wikipedia.org/wiki/Andr%C3%A9-Pierre_Gignac'>André-Pierre Gignac</a>
Pierre-Emerick Aubameyang, 777, <a href='http://en.wikipedia.org/wiki/Pierre-Emerick_Aubameyang'>Pierre-Emerick Aubameyang</a>
Zinédine Zidane, 706, <a href='http://en.wikipedia.org/wiki/Zinedine_Zidane'>Zinedine Zidane</a>
Jean-Pierre Papin, 698, <a href='http://en.wikipedia.org/wiki/Jean-Pierre_Papin'>Jean-Pierre Papin</a>
Ryan Mendes da Graça, 694, <a href='http://en.wikipedia.org/wiki/Ryan_Mendes'>Ryan Mendes</a>
Benjamin André, 666, <a href='http://en.wikipedia.org/wiki/Andr%C3%A9_3000'>André 3000</a>
Karim Benzema, 656, <a href='http://en.wikipedia.org/wiki/Karim_Benzema'>Karim Benzema</a>
Franck Ribéry, 637, <a href='http://en.wikipedia.org/wiki/Franck_Rib%C3%A9ry'>Franck Ribéry</a>
Didier Drogba, 630, <a href='http://en.wikipedia.org/wiki/Didier_Drogba'>Didier Drogba</a>
Jean-Daniel Akpa-Akpro, 627, <a href='http://en.wikipedia.org/wiki/Jean-Daniel_Akpa-Akpro'>Jean-Daniel Akpa-Akpro</a>
Youssef El-Arabi, 624, <a href='http://en.wikipedia.org/wiki/Youssef_El-Arabi'>Youssef El-Arabi</a>
Paul Pogba, 624, <a href='http://en.wikipedia.org/wiki/Paul_Pogba'>Paul Pogba</a>
Arsène Wenger, 620, <a href='http://en.wikipedia.org/wiki/Ars%C3%A8ne_Wenger'>Arsène Wenger</a>
Antoine Griezmann, 619, <a href='http://en.wikipedia.org/wiki/Antoine_Griezmann'>Antoine Griezmann</a>
Benoît Assou-Ekotto, 618, <a href='http://en.wikipedia.org/wiki/Beno%C3%AEt_Assou-Ekotto'>Benoît Assou-Ekotto</a>
Thierry Henry, 614, <a href='http://en.wikipedia.org/wiki/Thierry_Henry'>Thierry Henry</a>
Jean-Armel Kana-Biyik, 613, <a href='http://en.wikipedia.org/wiki/Jean-Armel_Kana-Biyik'>Jean-Armel Kana-Biyik</a>
Éric Cantona, 607, <a href='http://en.wikipedia.org/wiki/Eric_Cantona'>Eric Cantona</a>
Wissam Ben Yedder, 605, <a href='http://en.wikipedia.org/wiki/Wissam_Ben_Yedder'>Wissam Ben Yedder</a>
Riyad Mahrez, 601, <a href='http://en.wikipedia.org/wiki/Riyad_Mahrez'>Riyad Mahrez</a>
Olivier Giroud, 596, <a href='http://en.wikipedia.org/wiki/Olivier_Giroud'>Olivier Giroud</a>
Eugénie Le Sommer, 593, <a href='http://en.wikipedia.org/wiki/Eug%C3%A9nie_Le_Sommer'>Eugénie Le Sommer</a>
Mapou Yanga-Mbiwa, 591, <a href='http://en.wikipedia.org/wiki/Mapou_Yanga-Mbiwa'>Mapou Yanga-Mbiwa</a>
Paul Le Guen, 589, <a href='http://en.wikipedia.org/wiki/Paul_Le_Guen'>Paul Le Guen</a>
Paul-Georges Ntep, 582, <a href='http://en.wikipedia.org/wiki/Paul-Georges_Ntep'>Paul-Georges Ntep</a>
Éric Di Meco, 580, <a href='http://en.wikipedia.org/wiki/%C3%89ric_Di_Meco'>Éric Di Meco</a>
Liassine Cadamuro-Bentaïba, 572, <a href='http://en.wikipedia.org/wiki/Liassine_Cadamuro-Benta%C3%AFba'>Liassine Cadamuro-Bentaïba</a>
Dimitri Payet, 572, <a href='http://en.wikipedia.org/wiki/Dimitri_Payet'>Dimitri Payet</a>
Samir Nasri, 569, <a href='http://en.wikipedia.org/wiki/Samir_Nasri'>Samir Nasri</a>
